 				  Multiplayer Winners
  Winners Name								  Wins								Score
1.thomas                                      :4                                :2000.0
2.jan                                         :8                                :8000.0
3.dasf                                        :4                                :5750.0
4.asdf                                        :3                                :15000.0
5.jas                                         :1                                :7000.0
1.thomas                                      :4                                :2000.0
2.jan                                         :8                                :8000.0
3.dasf                                        :4                                :5750.0
4.asdf                                        :3                                :15000.0
5.jas                                         :1                                :7000.0
1.thomas                                      :4                                :2000.0
2.jan                                         :8                                :8000.0
3.dasf                                        :4                                :5750.0
4.asdf                                        :3                                :15000.0
5.jas                                         :1                                :7000.0
1.thomas                                      :4                                :2000.0
2.jan                                         :8                                :8000.0
3.dasf                                        :4                                :5750.0
4.asdf                                        :3                                :15000.0
5.jas                                         :1                                :7000.0
1.thomas                                      :4                                :2000.0
2.jan                                         :8                                :8000.0
3.dasf                                        :4                                :5750.0
4.asdf                                        :3                                :15000.0
5.jas                                         :1                                :7000.0
1.thomas                                      :4                                :2000.0
2.jan                                         :8                                :8000.0
3.dasf                                        :4                                :5750.0
4.asdf                                        :3                                :15000.0
5.jas                                         :1                                :7000.0
1.thomas                                      :4                                :2000.0
2.jan                                         :8                                :8000.0
3.dasf                                        :4                                :5750.0
4.asdf                                        :3                                :15000.0
5.jas                                         :1                                :7000.0
